t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
15589,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15590,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15591,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15592,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15593,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15594,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15595,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15596,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15597,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15598,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15599,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
