t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
40,0.0,0.0,0.29191299389278713,0.0001541891642816551,0,0.0001520714794643351,0.0,0.0,0.0001520714794643351,0.0,0.3396417965556575,0.4,0,0,0.0,0.29808056046405335,0.9648914674876633,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01520714794643351
41,0.0,0.0,0.28579309027598365,0.00015299759042008645,0,0.00015124938211976365,0.0,0.0,0.00015124938211976365,0.0,0.33978165321968334,0.4,0,0,0.0,0.29191299389278713,0.9652887875559185,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.015124938211976363
42,0.0,0.0,0.27972048127433086,0.00015181522504132002,0,0.00015029497331199595,0.0,0.0,0.00015029497331199595,0.0,0.3399032733580293,0.4,0,0,0.0,0.28579309027598365,0.965634299312583,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.015029497331199593
43,0.0,0.0,0.2736948013950428,0.0001506419969822007,0,0.00014926413125368395,0.0,0.0,0.00014926413125368395,0.0,0.3400135026163107,0.4,0,0,0.0,0.27972048127433086,0.9659474506145189,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014926413125368396
44,0.0,0.0,0.26771568796986195,0.00014947783562952228,0,0.00014819049701178725,0.0,0.0,0.00014819049701178725,0.0,0.3401164897057295,0.4,0,0,0.0,0.2736948013950428,0.966240027573095,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014819049701178725
45,0.0,0.0,0.26178278113323084,0.0001483226709157773,0,0.00014709432281793548,0.0,0.0,0.00014709432281793548,0.0,0.3402147575535569,0.4,0,0,0.0,0.26771568796986195,0.966519197595332,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014709432281793547
46,0.0,0.0,0.25589572380063325,0.0001471764333149402,0,0.00014598781626253625,0.0,0.0,0.00014598781626253625,0.0,0.34030984691774924,0.4,0,0,0.0,0.26178278113323084,0.9667893378345148,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014598781626253625
47,0.0,0.0,0.250054161647102,0.00014603905383828232,0,0.00014487834843896036,0.0,0.0,0.00014487834843896036,0.0,0.340402703349695,0.4,0,0,0.0,0.25589572380063325,0.967053134516179,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014487834843896036
48,0.0,0.0,0.24425774308589318,0.00014491046403022009,0,0.00014377037639502527,0.0,0.0,0.0001437703763950253,0.0,0.34049391036051063,0.4,0,0,0.0,0.250054161647102,0.9673122453423596,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.014377037639502528
49,0.0,0.0,0.2385061192473254,0.00014379059596419456,0,0.0001426665960192748,0.0,0.0,0.00014266659601927477,0.0,0.3405838303561042,0.4,0,0,0.0,0.24425774308589318,0.9675676998752959,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014266659601927478
